Order_Hour,Day_of_Week,Is_Weekend,Is_Festival,Weather,Pickup_Zone,Dropoff_Zone,Vehicle_Type,Rider_Experience_Years,Rider_Rating,Restaurant_Rating,Cuisine_Type,Order_Items,Restaurant_Load,Preparation_Time_Min,Road_Distance_km,Delivery_Distance_Category,Traffic_Level,Number_of_Signals,Average_Speed_kmph,Delivery_Priority,Time_taken_min
8,Tuesday,0,0,Clear,CBD,Commercial,Scooter,3.1,3.8,3.8,Pizza,1,Medium,23,30.55,Long,Moderate,15,28.7,Normal,91
12,Friday,0,0,Rain,CBD,CBD,Scooter,1.8,3.6,3.9,Desserts,3,Medium,11,2.25,Short,Moderate,17,23.3,Normal,21
18,Sunday,1,0,Clear,Residential,Residential,Scooter,3.8,3.9,4.0,Biryani,1,Low,31,10.15,Long,Moderate,8,28.9,Normal,52
12,Wednesday,0,0,Cloudy,Residential,Industrial,Bike,1.7,3.9,4.6,Burger,3,Medium,19,26.33,Long,Low,9,41.4,Normal,59
18,Monday,0,0,Rain,Industrial,Residential,Bike,12.4,4.4,4.0,Desserts,1,Medium,7,30.48,Long,Moderate,8,31.7,Normal,75
18,Wednesday,0,0,Cloudy,CBD,Suburban,Electric Scooter,1.6,3.5,4.9,South Indian,1,Low,16,34.05,Long,Moderate,16,24.2,Normal,105
12,Tuesday,0,0,Rain,Commercial,Commercial,Bicycle,2.2,4.0,4.3,Bakery,5,Low,13,38.8,Long,Low,10,13.4,Normal,180
22,Friday,0,0,Cloudy,CBD,Residential,Electric Scooter,0.7,3.7,3.6,Burger,3,High,23,4.61,Medium,Low,14,29.3,Normal,37
8,Thursday,0,1,Cloudy,CBD,Residential,Bike,10.2,4.4,3.6,North Indian,3,Medium,33,33.04,Long,High,17,29.2,Normal,110
16,Friday,0,0,Clear,Commercial,Residential,Bike,9.3,4.3,3.4,Desserts,6,Low,18,35.77,Long,Low,10,45.9,Normal,69
8,Tuesday,0,0,Cloudy,CBD,Commercial,Scooter,2.8,3.9,4.9,South Indian,1,Low,16,8.83,Long,Moderate,14,27.8,Normal,42
12,Sunday,1,0,Cloudy,Industrial,Residential,Bike,9.2,4.3,3.4,Biryani,3,Low,32,1.2,Short,Low,4,44.5,Normal,41
8,Sunday,1,0,Cloudy,Residential,CBD,Scooter,7.2,4.1,4.0,Cafe,1,High,16,29.88,Long,Moderate,9,29.0,Normal,83
12,Tuesday,0,0,Clear,Industrial,CBD,Bicycle,1.4,3.7,4.5,Pizza,2,High,31,34.79,Long,Low,8,16.2,Normal,162
17,Sunday,1,0,Clear,Industrial,Commercial,Electric Scooter,6.0,3.8,4.0,Desserts,5,Medium,17,16.13,Long,Low,4,31.8,VIP,48
21,Friday,0,0,Clear,Industrial,Residential,Scooter,5.3,3.9,3.8,Chinese,2,High,28,17.04,Long,Low,4,35.8,Normal,58
7,Sunday,1,0,Clear,Commercial,CBD,Bike,2.5,3.9,3.9,Chinese,2,Medium,20,31.39,Long,Low,10,43.0,Normal,70
17,Tuesday,0,0,Clear,Industrial,Suburban,Bike,4.3,3.9,4.0,Cafe,4,Medium,18,32.2,Long,Low,7,43.8,Normal,62
11,Tuesday,0,0,Clear,Residential,Residential,Scooter,1.8,3.7,4.4,Bakery,2,Low,5,44.62,Long,Low,8,34.6,Priority,84
10,Thursday,0,0,Cloudy,Commercial,Residential,Scooter,3.1,3.8,3.7,Desserts,1,High,15,36.61,Long,Low,12,34.0,Normal,82
17,Thursday,0,0,Clear,Suburban,CBD,Scooter,2.8,3.6,4.5,Chinese,1,Medium,21,32.37,Long,Low,6,35.0,Normal,79
15,Saturday,1,1,Rain,Commercial,Commercial,Bike,4.0,3.9,4.1,North Indian,6,Medium,38,17.6,Long,High,12,23.3,Normal,99
17,Thursday,0,0,Clear,Residential,Suburban,Electric Scooter,15.0,4.7,4.5,South Indian,1,Medium,20,3.71,Medium,Low,6,34.5,Priority,26
17,Thursday,0,0,Storm,Residential,Residential,Scooter,6.6,4.2,4.3,North Indian,2,High,31,41.46,Long,Low,9,24.6,Normal,145
5,Friday,0,0,Clear,CBD,Residential,Bike,8.8,4.2,3.8,Cafe,5,Low,13,48.65,Long,Low,18,45.7,Normal,87
20,Sunday,1,0,Rain,Commercial,Residential,Electric Scooter,2.8,4.2,4.4,South Indian,1,Low,13,9.17,Long,High,11,16.4,Normal,55
15,Monday,0,1,Cloudy,Residential,Suburban,Bike,5.4,3.9,4.1,Burger,2,Low,13,43.52,Long,Low,7,42.9,Normal,73
10,Wednesday,0,1,Clear,Residential,Residential,Bike,0.8,3.4,4.7,North Indian,1,High,26,48.19,Long,Moderate,10,34.7,Normal,117
12,Monday,0,0,Cloudy,Suburban,Commercial,Scooter,1.8,3.6,4.8,Pizza,6,Medium,29,11.01,Long,Low,4,33.6,Normal,58
19,Thursday,0,1,Cloudy,CBD,Residential,Bike,6.3,4.4,4.2,Chinese,6,Low,26,37.59,Long,High,17,28.1,Priority,121
22,Tuesday,0,0,Rain,Commercial,Commercial,Electric Scooter,6.9,4.1,3.7,Pizza,2,Low,21,10.67,Long,Low,12,26.3,Priority,54
15,Friday,0,0,Clear,Commercial,Residential,Electric Scooter,1.1,3.9,4.2,Burger,1,Low,9,19.47,Long,Low,13,30.3,Priority,52
18,Thursday,0,0,Fog,Industrial,Industrial,Bike,5.6,3.9,3.9,South Indian,4,High,29,2.06,Short,Low,7,39.0,Normal,36
19,Wednesday,0,0,Clear,CBD,Commercial,Scooter,1.3,4.0,4.4,Pizza,7,Low,32,20.45,Long,Moderate,15,28.2,Normal,85
21,Friday,0,0,Fog,Industrial,CBD,Bike,7.9,4.6,4.2,Desserts,3,Medium,15,3.69,Medium,Low,7,39.9,Normal,20
14,Sunday,1,0,Rain,Suburban,CBD,Electric Scooter,3.6,4.0,4.6,North Indian,1,Low,23,46.11,Long,Moderate,6,20.9,Priority,156
7,Sunday,1,0,Rain,Residential,Residential,Electric Scooter,5.2,3.9,4.6,Bakery,3,High,15,36.22,Long,Moderate,7,21.2,Priority,121
20,Sunday,1,0,Cloudy,Commercial,Residential,Bike,2.8,3.6,4.5,Cafe,2,High,14,29.19,Long,Moderate,12,34.3,Priority,66
20,Wednesday,0,0,Fog,Industrial,Commercial,Bike,10.3,4.6,3.4,North Indian,2,Low,28,15.95,Long,Low,7,40.8,VIP,52
22,Monday,0,0,Rain,Industrial,Suburban,Bike,4.1,3.9,4.2,Burger,1,Medium,11,37.58,Long,Low,5,35.9,Normal,79
10,Monday,0,0,Cloudy,CBD,Residential,Bicycle,5.2,3.9,4.2,Chinese,4,Medium,26,17.2,Long,Moderate,17,13.4,Normal,105
13,Friday,0,0,Clear,Residential,Residential,Bike,5.7,4.1,4.3,Bakery,2,Medium,12,9.58,Long,Low,7,44.4,VIP,27
19,Sunday,1,0,Rain,Suburban,CBD,Scooter,2.4,3.3,4.3,Chinese,4,Low,21,52.45,Long,High,6,18.6,Priority,180
